important	2025-08-27 18:11:12_945	打开日志文件[/home/sunrise/xgo_demo/build/xgo_head/log/log.txt], 级别为1:debug, 超过10485760字节将重建文件。
debug	2025-08-27 18:11:32_123	receive a body
debug	2025-08-27 18:11:32_124	body points num  19 , save.
debug	2025-08-27 18:11:32_141	interval not reach, ignor.
debug	2025-08-27 18:11:32_171	interval not reach, ignor.
debug	2025-08-27 18:11:32_172	receive a body
debug	2025-08-27 18:11:32_172	body points num  19 , save.
debug	2025-08-27 18:11:32_202	interval not reach, ignor.
debug	2025-08-27 18:11:32_202	receive a body
debug	2025-08-27 18:11:32_203	body points num  19 , save.
debug	2025-08-27 18:11:32_232	receive a compressed Image, format is :jpeg,  size if :40223
debug	2025-08-27 18:11:32_243	1 body to draw.
debug	2025-08-27 18:11:32_245	receive a body
debug	2025-08-27 18:11:32_245	body points num  19 , save.
debug	2025-08-27 18:11:32_262	interval not reach, ignor.
debug	2025-08-27 18:11:32_263	receive a body
debug	2025-08-27 18:11:32_263	body points num  19 , save.
debug	2025-08-27 18:11:32_293	interval not reach, ignor.
debug	2025-08-27 18:11:32_293	receive a body
debug	2025-08-27 18:11:32_294	body points num  19 , save.
debug	2025-08-27 18:11:32_323	interval not reach, ignor.
debug	2025-08-27 18:11:32_324	receive a body
debug	2025-08-27 18:11:32_324	body points num  19 , save.
debug	2025-08-27 18:11:32_353	receive a compressed Image, format is :jpeg,  size if :41555
debug	2025-08-27 18:11:32_365	1 body to draw.
debug	2025-08-27 18:11:32_366	receive a body
debug	2025-08-27 18:11:32_367	body points num  19 , save.
debug	2025-08-27 18:11:32_384	interval not reach, ignor.
debug	2025-08-27 18:11:32_384	receive a body
debug	2025-08-27 18:11:32_385	body points num  19 , save.
debug	2025-08-27 18:11:32_414	interval not reach, ignor.
debug	2025-08-27 18:11:32_414	receive a body
debug	2025-08-27 18:11:32_415	body points num  19 , save.
debug	2025-08-27 18:11:32_444	interval not reach, ignor.
debug	2025-08-27 18:11:32_445	receive a body
debug	2025-08-27 18:11:32_445	body points num  19 , save.
debug	2025-08-27 18:11:32_474	receive a body
debug	2025-08-27 18:11:32_475	body points num  19 , save.
debug	2025-08-27 18:11:32_505	receive a compressed Image, format is :jpeg,  size if :42465
debug	2025-08-27 18:11:32_518	1 body to draw.
debug	2025-08-27 18:11:32_519	receive a body
debug	2025-08-27 18:11:32_519	body points num  19 , save.
debug	2025-08-27 18:11:32_535	interval not reach, ignor.
debug	2025-08-27 18:11:32_565	interval not reach, ignor.
debug	2025-08-27 18:11:32_566	receive a body
debug	2025-08-27 18:11:32_566	body points num  19 , save.
debug	2025-08-27 18:11:32_596	interval not reach, ignor.
debug	2025-08-27 18:11:32_596	receive a body
debug	2025-08-27 18:11:32_597	body points num  19 , save.
debug	2025-08-27 18:11:32_626	receive a compressed Image, format is :jpeg,  size if :42646
debug	2025-08-27 18:11:32_637	1 body to draw.
debug	2025-08-27 18:11:32_638	receive a body
debug	2025-08-27 18:11:32_638	body points num  19 , save.
debug	2025-08-27 18:11:32_656	interval not reach, ignor.
debug	2025-08-27 18:11:32_657	receive a body
debug	2025-08-27 18:11:32_657	body points num  19 , save.
debug	2025-08-27 18:11:32_687	interval not reach, ignor.
debug	2025-08-27 18:11:32_687	receive a body
debug	2025-08-27 18:11:32_687	body points num  19 , save.
debug	2025-08-27 18:11:32_717	interval not reach, ignor.
debug	2025-08-27 18:11:32_717	receive a body
debug	2025-08-27 18:11:32_717	body points num  19 , save.
debug	2025-08-27 18:11:32_747	receive a compressed Image, format is :jpeg,  size if :43203
debug	2025-08-27 18:11:32_759	1 body to draw.
debug	2025-08-27 18:11:32_761	receive a body
debug	2025-08-27 18:11:32_761	body points num  19 , save.
debug	2025-08-27 18:11:32_777	interval not reach, ignor.
debug	2025-08-27 18:11:32_778	receive a body
debug	2025-08-27 18:11:32_778	body points num  19 , save.
debug	2025-08-27 18:11:32_808	interval not reach, ignor.
debug	2025-08-27 18:11:32_808	receive a body
debug	2025-08-27 18:11:32_809	body points num  19 , save.
debug	2025-08-27 18:11:32_838	interval not reach, ignor.
debug	2025-08-27 18:11:32_838	receive a body
debug	2025-08-27 18:11:32_839	body points num  19 , save.
debug	2025-08-27 18:11:32_869	receive a compressed Image, format is :jpeg,  size if :43487
debug	2025-08-27 18:11:32_881	1 body to draw.
debug	2025-08-27 18:11:32_882	receive a body
debug	2025-08-27 18:11:32_882	body points num  19 , save.
debug	2025-08-27 18:11:32_899	interval not reach, ignor.
debug	2025-08-27 18:11:32_899	receive a body
debug	2025-08-27 18:11:32_899	body points num  19 , save.
debug	2025-08-27 18:11:32_929	interval not reach, ignor.
debug	2025-08-27 18:11:32_929	receive a body
debug	2025-08-27 18:11:32_930	body points num  19 , save.
debug	2025-08-27 18:11:32_959	interval not reach, ignor.
debug	2025-08-27 18:11:32_960	receive a body
debug	2025-08-27 18:11:32_960	body points num  19 , save.
debug	2025-08-27 18:11:32_990	receive a body
debug	2025-08-27 18:11:32_990	body points num  19 , save.
debug	2025-08-27 18:11:33_020	receive a compressed Image, format is :jpeg,  size if :44168
debug	2025-08-27 18:11:33_032	1 body to draw.
debug	2025-08-27 18:11:33_033	receive a body
debug	2025-08-27 18:11:33_033	body points num  19 , save.
debug	2025-08-27 18:11:33_050	interval not reach, ignor.
debug	2025-08-27 18:11:33_051	receive a body
debug	2025-08-27 18:11:33_051	body points num  19 , save.
debug	2025-08-27 18:11:33_080	interval not reach, ignor.
debug	2025-08-27 18:11:33_081	receive a body
debug	2025-08-27 18:11:33_082	body points num  19 , save.
debug	2025-08-27 18:11:33_111	interval not reach, ignor.
debug	2025-08-27 18:11:33_111	receive a body
debug	2025-08-27 18:11:33_111	body points num  19 , save.
debug	2025-08-27 18:11:33_141	receive a compressed Image, format is :jpeg,  size if :44640
debug	2025-08-27 18:11:33_152	1 body to draw.
debug	2025-08-27 18:11:33_154	receive a body
debug	2025-08-27 18:11:33_154	body points num  19 , save.
debug	2025-08-27 18:11:33_171	interval not reach, ignor.
debug	2025-08-27 18:11:33_172	receive a body
debug	2025-08-27 18:11:33_172	body points num  19 , save.
debug	2025-08-27 18:11:33_202	interval not reach, ignor.
debug	2025-08-27 18:11:33_202	receive a body
debug	2025-08-27 18:11:33_203	body points num  19 , save.
debug	2025-08-27 18:11:33_232	interval not reach, ignor.
debug	2025-08-27 18:11:33_233	receive a body
debug	2025-08-27 18:11:33_233	body points num  19 , save.
debug	2025-08-27 18:11:33_262	receive a compressed Image, format is :jpeg,  size if :44846
debug	2025-08-27 18:11:33_275	1 body to draw.
debug	2025-08-27 18:11:33_276	receive a body
debug	2025-08-27 18:11:33_276	body points num  19 , save.
debug	2025-08-27 18:11:33_293	interval not reach, ignor.
debug	2025-08-27 18:11:33_323	interval not reach, ignor.
debug	2025-08-27 18:11:33_323	receive a body
debug	2025-08-27 18:11:33_324	body points num  19 , save.
debug	2025-08-27 18:11:33_353	interval not reach, ignor.
debug	2025-08-27 18:11:33_354	receive a body
debug	2025-08-27 18:11:33_354	body points num  19 , save.
debug	2025-08-27 18:11:33_384	receive a compressed Image, format is :jpeg,  size if :44781
debug	2025-08-27 18:11:33_395	1 body to draw.
debug	2025-08-27 18:11:33_396	receive a body
debug	2025-08-27 18:11:33_397	body points num  19 , save.
debug	2025-08-27 18:11:33_414	interval not reach, ignor.
debug	2025-08-27 18:11:33_415	receive a body
debug	2025-08-27 18:11:33_415	body points num  19 , save.
debug	2025-08-27 18:11:33_445	interval not reach, ignor.
debug	2025-08-27 18:11:33_445	receive a body
debug	2025-08-27 18:11:33_446	body points num  19 , save.
debug	2025-08-27 18:11:33_474	interval not reach, ignor.
debug	2025-08-27 18:11:33_475	receive a body
debug	2025-08-27 18:11:33_475	body points num  19 , save.
debug	2025-08-27 18:11:33_505	receive a compressed Image, format is :jpeg,  size if :45242
debug	2025-08-27 18:11:33_516	1 body to draw.
debug	2025-08-27 18:11:33_517	receive a body
